EMP1201,41,60
EMP1202,58,67
EMP1203,55,52
EMP1204,42,50
EMP1205,36,64
EMP1206,54,54
EMP1207,32,91
EMP1208,45,55
EMP1209,36,100
EMP1210,56,85
EMP1211,33,76
EMP1212,31,99
EMP1213,28,87
EMP1214,57,77
EMP1215,50,91
EMP1216,56,100
EMP1217,44,87
EMP1218,29,54
EMP1219,25,77
EMP1220,44,50
EMP1221,38,68
EMP1222,32,87
EMP1223,55,81
EMP1224,47,86
EMP1225,59,59
EMP1226,22,60
EMP1227,35,90
EMP1228,42,69
EMP1229,60,84
EMP1230,49,57
EMP1231,49,51
EMP1232,52,63
EMP1233,30,87
EMP1234,21,58
EMP1235,20,60
EMP1236,22,90
EMP1237,60,59
EMP1238,36,73
EMP1239,32,83
EMP1240,32,93
EMP1241,51,100
EMP1242,51,54
EMP1243,57,96
EMP1244,49,76
EMP1245,41,98
EMP1246,42,79
EMP1247,32,60
EMP1248,27,94
EMP1249,54,82
EMP1250,31,76
EMP1251,47,51
EMP1252,60,92
EMP1253,34,94
EMP1254,41,50
EMP1255,38,87
EMP1256,46,74
EMP1257,55,96
EMP1258,43,59
EMP1259,34,55
EMP1260,55,55
EMP1261,33,58
EMP1262,40,54
EMP1263,60,74
EMP1264,55,51
EMP1265,37,82
EMP1266,38,99
EMP1267,34,66
EMP1268,44,100
EMP1269,35,65
EMP1270,58,94
EMP1271,45,90
EMP1272,41,96
EMP1273,34,70
EMP1274,35,55
EMP1275,49,54
EMP1276,51,80
EMP1277,59,69
EMP1278,52,82
EMP1279,53,83
EMP1280,33,86
EMP1281,31,54
EMP1282,60,80
EMP1283,31,86
EMP1284,34,76
EMP1285,51,88
EMP1286,38,51
EMP1287,56,93
EMP1288,24,76
EMP1289,35,91
EMP1290,45,65
EMP1291,51,67
EMP1292,53,60
EMP1293,50,60
EMP1294,48,98
EMP1295,42,76
EMP1296,36,64
EMP1297,44,82
EMP1298,20,66
EMP1299,28,54
EMP1300,54,63
EMP1301,28,74
EMP1302,58,85
EMP1303,43,88
EMP1304,23,52
EMP1305,59,70
EMP1306,52,55
EMP1307,35,86
EMP1308,27,50
EMP1309,41,56
EMP1310,34,82
EMP1311,35,99
EMP1312,47,87
EMP1313,47,53
EMP1314,25,92
EMP1315,20,78
EMP1316,56,61
EMP1317,39,98
EMP1318,52,67
EMP1319,44,100
EMP1320,53,73
EMP1321,31,66
EMP1322,56,59
EMP1323,31,60
EMP1324,33,62
EMP1325,52,59
EMP1326,37,71
EMP1327,20,56
EMP1328,34,86
EMP1329,31,99
EMP1330,32,79
EMP1331,43,61
EMP1332,25,92
EMP1333,51,54
EMP1334,24,85
EMP1335,60,96
EMP1336,33,93
EMP1337,51,59
EMP1338,21,54
EMP1339,33,78
EMP1340,43,70
EMP1341,25,87
EMP1342,44,92
EMP1343,58,57
EMP1344,29,79
EMP1345,27,51
EMP1346,59,59
EMP1347,48,60
EMP1348,36,61
EMP1349,23,64
EMP1350,42,88
EMP1351,44,74
EMP1352,27,63
EMP1353,29,78
EMP1354,48,83
EMP1355,25,58
EMP1356,38,76
EMP1357,34,93
EMP1358,34,53
EMP1359,45,75
EMP1360,21,63
EMP1361,28,84
EMP1362,40,88
EMP1363,40,61
EMP1364,30,77
EMP1365,53,85
EMP1366,33,78
EMP1367,34,66
EMP1368,52,94
EMP1369,60,57
EMP1370,23,50
EMP1371,44,82
EMP1372,59,67
EMP1373,41,65
EMP1374,46,93
EMP1375,39,79
EMP1376,36,74
EMP1377,25,59
EMP1378,26,82
EMP1379,42,89
EMP1380,32,89
EMP1381,50,98
EMP1382,39,57
EMP1383,59,99
EMP1384,56,74
EMP1385,52,92
EMP1386,42,69
EMP1387,39,98
EMP1388,59,99
EMP1389,23,83
EMP1390,39,78
EMP1391,50,60
EMP1392,25,87
EMP1393,21,83
EMP1394,43,62
EMP1395,47,51
EMP1396,57,61
EMP1397,46,66
EMP1398,27,59
EMP1399,46,76
EMP1400,40,92
EMP1401,53,62
EMP1402,42,95
EMP1403,55,51
EMP1404,38,72
EMP1405,22,76
EMP1406,23,86
EMP1407,32,95
EMP1408,54,60
EMP1409,34,84
EMP1410,28,88
EMP1411,40,50
EMP1412,39,78
EMP1413,36,95
EMP1414,50,98
EMP1415,49,68
EMP1416,34,73
EMP1417,45,81
EMP1418,30,68
EMP1419,47,83
